Tijdstip,Timestamp,Timertijd,Totale tijd,VOD link,
21-4-2021 3:00,,,274:00:00,,
21-4-2021 4:00,,,275:00:00,,
21-4-2021 5:00,,,276:00:00,,
21-4-2021 6:00,,,277:00:00,,
21-4-2021 7:00,,,278:00:00,,
21-4-2021 8:00,,,279:00:00,,
21-4-2021 9:00,,,280:00:00,,
21-4-2021 10:00,,,281:00:00,,
21-4-2021 11:00,,,282:00:00,,
21-4-2021 12:00,,,283:00:00,,
21-4-2021 13:00,,,284:00:00,,
21-4-2021 14:00,,,285:00:00,,
21-4-2021 15:00,,,286:00:00,,
21-4-2021 16:00,,,287:00:00,,
21-4-2021 17:00,,,288:00:00,,
21-4-2021 18:00,,,289:00:00,,
21-4-2021 19:00,,,290:00:00,,
21-4-2021 20:00,,,291:00:00,,
21-4-2021 21:00,,,292:00:00,,
21-4-2021 22:00,,,293:00:00,,
21-4-2021 23:00,,,294:00:00,,
22-4-2021 0:00,,,295:00:00,,
22-4-2021 1:00,,,296:00:00,,
22-4-2021 2:00,,,297:00:00,,
22-4-2021 3:00,,,298:00:00,,
22-4-2021 4:00,,,299:00:00,,
22-4-2021 5:00,,,300:00:00,,
22-4-2021 6:00,,,301:00:00,,
22-4-2021 7:00,,,302:00:00,,
22-4-2021 8:00,,,303:00:00,,
22-4-2021 9:00,,,304:00:00,,
22-4-2021 10:00,,,305:00:00,,
22-4-2021 11:00,,,306:00:00,,
22-4-2021 12:00,,,307:00:00,,
22-4-2021 13:00,,,308:00:00,,
22-4-2021 14:00,,,309:00:00,,
22-4-2021 15:00,,,310:00:00,,
22-4-2021 16:00,,,311:00:00,,
22-4-2021 17:00,,,312:00:00,,
22-4-2021 18:00,,,313:00:00,,
22-4-2021 19:00,,,314:00:00,,
22-4-2021 20:00,,,315:00:00,,
22-4-2021 21:00,,,316:00:00,,
22-4-2021 22:00,,,317:00:00,,
22-4-2021 23:00,,,318:00:00,,
23-4-2021 0:00,,,319:00:00,,
23-4-2021 1:00,,,320:00:00,,
23-4-2021 2:00,,,321:00:00,,
23-4-2021 3:00,,,322:00:00,,
23-4-2021 4:00,,,323:00:00,,
23-4-2021 5:00,,,324:00:00,,
23-4-2021 6:00,,,325:00:00,,
23-4-2021 7:00,,,326:00:00,,
23-4-2021 8:00,,,327:00:00,,
23-4-2021 9:00,,,328:00:00,,
23-4-2021 10:00,,,329:00:00,,
23-4-2021 11:00,,,330:00:00,,
23-4-2021 12:00,,,331:00:00,,
23-4-2021 13:00,,,332:00:00,,
23-4-2021 14:00,,,333:00:00,,
23-4-2021 15:00,,,334:00:00,,
23-4-2021 16:00,,,335:00:00,,
23-4-2021 17:00,,,336:00:00,,
23-4-2021 18:00,,,337:00:00,,
23-4-2021 19:00,,,338:00:00,,
23-4-2021 20:00,,,339:00:00,,
23-4-2021 21:00,,,340:00:00,,
23-4-2021 22:00,,,341:00:00,,
23-4-2021 23:00,,,342:00:00,,
24-4-2021 0:00,,,343:00:00,,
